Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation sur les 2 années
Plaques cuisson;605;105,5;140,5;710.5
Lave linge;310;12,1;14,9;322.1
Loisirs;804;13,4;14,8;817.4
Repassage;506;7,1;14,2;513.1
Audio_TV;202;10,0;14,0;212.0
Plaques cuisson;110;129,5;139,2;239.5
Clim_mob_rafraich_Déshum;102;1404,8;1377,0;1506.8
Lave linge;703;140,6;137,2;843.6
Chaudières;903;111,9;137,1;1014.9
Sèche linge;807;113,9;136,0;920.9
Téléviseurs;810;131,0;135,5;941.0
Poêles;103;151,1;134,7;254.1
Téléviseurs;303;153,3;133,4;456.3
Lave linge;311;138,0;133,4;449.0
Lave linge;606;89,5;131,9;695.5
Lave linge;202;124,0;131,5;326.0
Chaudières;510;72,6;131,2;582.6
Téléviseurs;606;92,7;130,1;698.7
Repassage;403;42,0;13,7;445.0
Hifi;1010;13,3;13,7;1023.3
Hifi;210;13,5;13,6;223.5
Imprimantes;1011;4,1;13,5;1015.1
Sèche linge;310;7,7;13,4;317.7
Nettoyage_sols;803;17,7;13,3;820.7
Audio_TV;311;14,7;13,0;325.7
Plaques cuisson;707;98,9;129,6;805.9
Lave linge;409;93,8;129,4;502.8
Sèche linge;406;119,7;128,9;525.7
Eau chaude sanitaire;909;1393,7;1277,3;2302.7
Eau chaude sanitaire;103;1099,0;1271,5;1202.0
Sèche linge;206;1123,2;1267,3;1329.2
Lave linge;705;138,1;126,8;843.1
Lave linge;209;114,2;125,5;323.2
Piscines;1010;1488,9;1247,1;2498.9
Téléviseurs;806;76,1;124,1;882.1
Téléviseurs;1007;130,0;124,0;1137.0
Congélateur;202;113,3;122,1;315.3
Hifi;903;142,2;122,0;1045.2
Piscines;1004;2517,0;1211,0;3521.0
Téléviseurs;503;83,9;121,1;586.9
Lave linge;1010;104,2;120,1;1114.2
Lave linge;907;17,1;12,7;924.1
Périph_info_bureautique;605;12,0;12,5;617.0
Imprimantes;209;11,0;12,3;220.0
Nettoyage_sols;209;6,3;12,1;215.3
Repassage;309;34,3;12,0;343.3
Eau chaude sanitaire;1003;1326,4;1183,6;2329.4
Téléviseurs;908;115,4;118,1;1023.4
Téléviseurs;201;147,6;117,6;348.6
Téléviseurs;705;193,6;117,5;898.6
Chaudières;201;96,7;117,4;297.7
Plaques cuisson;804;107,9;116,3;911.9
Sécurité;803;115,7;115,7;918.7
Téléviseurs;101;55,2;115,7;156.2
Lave linge;1009;96,5;115,6;1105.5
Audio_TV;1010;59,3;115,6;1069.3
Eau chaude sanitaire;205;1131,0;1145,8;1336.0
Lave linge;602;77,5;114,5;679.5
Cuisinières;101;110,3;114,0;211.3
Téléviseurs;805;118,5;112,4;923.5
Hifi;601;54,3;111,6;655.3
Sèche linge;1010;146,2;111,0;1156.2
Chaudières;1009;93,4;110,5;1102.4
Imprimantes;604;11,2;11,4;615.2
Eau chaude sanitaire;707;1070,9;1096,6;1777.9
Lave linge;806;100,5;108,1;906.5
Lave linge;704;97,1;105,0;801.1
Téléviseurs;707;112,0;104,0;819.0
Chaudières;504;88,9;103,8;592.9
Téléviseurs;1001;124,8;103,8;1125.8
Téléviseurs;801;139,2;102,7;940.2
Téléviseurs;410;118,2;102,6;528.2
Téléviseurs;709;86,0;102,3;795.0
Periph_multimedia;505;125,6;102,0;630.6
Sécurité;709;96,4;101,8;805.4
Poêles;202;87,4;101,7;289.4
Téléviseurs;308;75,5;101,6;383.5
Plaques cuisson;410;93,6;101,5;503.6
Eau chaude sanitaire;206;848,8;1005,7;1054.8
Lave linge;911;99,0;100,8;1010.0
Imprimantes;311;10,4;10,8;321.4
Téléviseurs;201;13,9;10,5;214.9
Periph_multimedia;810;5,5;10,4;815.5
Tablettes_smartph;404;5,6;10,4;409.6
Pompes;706;7,7;10,0;713.7
Hifi;805;1,2;1,8;806.2
Imprimantes;810;1,8;1,7;811.8
Divers cuisine;209;1,6;1,7;210.6
Divers cuisine;907;4,9;1,6;911.9
